title,A,B,C,D,result
某Word文档中有一个5行×4列的表格，如果要将另外一个文本文件中的5行文字拷贝到该表格中，并且使其正好成为该表格一列的内容，最优的操作方法是：,A)在文本文件中选中这5行文字，复制到剪贴板；然后回到 Word 文档中，将光标置于指定列的第一个单元格，将剪贴板内容粘贴过来。,B)将文本文件中的5行文字，一行一行地复制、粘贴到 Word 文档表格对应列的5个单元格中。,C)在文本文件中选中这 5 行文字，复制到剪贴板，然后回到 Word 文档中，选中对应列的 5 个单元格，将剪贴板内容粘贴过来。,D)在文本文件中选中这 5 行文字，复制到剪贴板，然后回到 Word 文档中，选中该表格，将剪贴板内容粘贴过来。,2
张经理在对Word文档格式的工作报告修改过程中，希望在原始文档显示其修改的内容和状态，最优的操作方法是：,A)利用“审阅”选项卡的批注功能，为文档中每一处需要修改的地方添加批注，将自己的意见写到批注框里。,B)利用“插入”选项卡的文本功能，为文档中的每一处需要修改的地方添加文档部件，将自己的意见写到文档部件中。,C)利用“审阅”选项卡的修订功能，选择带“显示标记”的文档修订查看方式后按下“修订”按钮，然后在文档中直接修改内容。,D)利用“插入”选项卡的修订标记功能，为文档中每一处需要修改的地方插入修订符号，然后在文档中直接修改内容。,2
小华利用 Word 编辑一份书稿，出版社要求目录和正文的页码分别采用不同的格式，且均从第 1 页开始，最优的操作方法是：,A)将目录和正文分别存在两个文档中，分别设置页码。,B)在目录与正文之间插入分节符，在不同的节中设置不同的页码。,C)在目录与正文之间插入分页符，在分页符前后设置不同的页码。,D)在 Word 中不设置页码，将其转换为 PDF格式时再增加页码。,1
小明的毕业论文分别请两位老师进行了审阅。每位老师分别通过 Word 的修订功能对该论文进行了修改。现在，小明需要将两份经过修订的文档合并为一份，最优的操作方法是：,A)小明可以在一份修订较多的文档中，将另一份修订较少的文档修改内容手动对照补充进去。,B)请一位老师在另一位老师修订后的文档中再进行一次修订。,C)利用 Word 比较功能，将两位老师的修订合并到一个文档中。,D)将修订较少的那部分舍弃，只保留修订较多的那份论文做为终稿。,2
在 Word 文档中有一个占用 3 页篇幅的表格，如需将这个表格的标题行都出现在各页面首行，最优的操作方法是：,A)将表格的标题行复制到另外 2 页中。,B)利用“重复标题行”功能。,"C)打开“表格属性”对话框，在列属性中进行设置。
",D)打开“表格属性”对话框，在行属性中进行设置。,1
在 Word 文档中包含了文档目录，将文档目录转变为纯文本格式的最优操作方法是：,A)文档目录本身就是纯文本格式，不需要再进行进一步操作。,B)使用 CTRL+SHIFT+F9 组合键。,C)在文档目录上单击鼠标右键，然后执行“转换”命令。,D)复制文档目录，然后通过选择性粘贴功能以纯文本方式显示。,1
小张完成了毕业论文，现需要在正文前添加论文目录以便检索和阅读，最优的操作方法是,A) 利用 Word 提供的“手动目录”功能创建目录。,B)直接输入作为目录的标题文字和相对应的页码创建目录。,C) 将文档的各级标题设置为内置标题样式，然后基于内置标题样式自动插入目录。,D) 不使用内置标题样式，而是直接基于自定义样式创建目录。,2
小王计划邀请 30 家客户参加答谢会，并为客户发送邀请函。快速制作 30 份邀请函的最优操作方法是：,A) 发动同事帮忙制作邀请函，每个人写几份。,B)利用 Word 的邮件合并功能自动生成。,C)先制作好一份邀请函，然后复印 30 份，在每份上添加客户名称。,D)先在 Word 中制作一份邀请函，通过复制、粘贴功能生成 30 份，然后分别添加客户名称。,1
以下不属于 Word 文档视图的是：,A) 阅读版式视图,B) 放映视图,C) Web 版式视图,D) 大纲视图,1
"在 Word 文档中，不可直接操作的是：
",A)录制屏幕操作视频,B)插入 Excel 图表,C)插入 SmartArt,D) 屏幕截图,0
下列文件扩展名，不属于 Word 模板文件的是：,A).DOCX,B).DOTM,C).DOTX,D).DOT,0
小张的毕业论文设置为 2 栏页面布局，现需在分栏之上插入一横跨两栏内容的论文标题，最优的操作方法是：,A)在两栏内容之前空出几行，打印出来后手动写上标题。,B)在两栏内容之上插入一个分节符，然后设置论文标题位置。,C)在两栏内容之上插入一个文本框，输入标题，并设置文本框的环绕方式。,D)在两栏内容之上插入一个艺术字标题。,1
在 Word 功能区中，拥有的选项卡分别是：,A) 开始、插入、页面布局、引用、邮件、审阅等,B) 开始、插入、编辑、页面布局、引用、邮件等,C) 开始、插入、编辑、页面布局、选项、邮件等,D) 开始、插入、编辑、页面布局、选项、帮助等,0
在 Word 中，邮件合并功能支持的数据源不包括：,A) Word 数据源,B) Excel 工作表,C) PowerPoint 演示文稿,D) HTML 文件,2
在 Excel 工作表中存放了第一中学和第二中学所有班级总计 300 个学生的考试成绩，A列到D列分别对应“学校”、“班级”、“学号”、“成绩”，利用公式计算第一中学 3 班的平均分，最优的操作方法是：,"A)=SUMIFS(D2:D301,A2:A301,"" 第一中学"",B2:B301,""3 班"")/COUNTIFS(A2:A301,""第一中学"",B2:B301,""3 班"")","B)=SUMIFS(D2:D301,B2:B301,""3 班"")/COUNTIFS(B2:B301,""3 班"")","C)=AVERAGEIFS(D2:D301,A2:A301,"" 第 一 中 学"",B2:B301,""3 班"")","D)=AVERAGEIF(D2:D301,A2:A301,"" 第一中学"",B2:B301,""3 班"")",2
Excel工作表D列保存了 18位身份证号码信息，为了保护个人隐私，需将身份证信息的第9到12位用“*”表示，以 D2单元格为例，最优的操作方法是：,"A)=MID(D2,1,8)+""****""+MID(D2,13,6)","B) =CONCATENATE(MID(D2,1,8),""****"",MID(D2,13,6))","C)=REPLACE(D2,9,4,""****"")","D) =MID(D2,9,4,""****"")",2
小金从网站上查到了最近一次全国人口普查的数据表格，他准备将这份表格中的数据引用到 Excel 中以便进一步分析，最优的操作方法是：,A)对照网页上的表格，直接将数据输入到Excel 工作表中。,B)通过复制、粘贴功能，将网页上的表格复制到 Excel 工作表中。,C)通过 Excel 中的“自网站获取外部数据”功能，直接将网页上的表格导入到 Excel 工作表中。,D)先将包含表格的网页保存为 .htm 或 .mht格式文件，然后在 Excel 中直接打开该文件。,2
小胡利用 Excel 对销售人员的销售额进行统计，销售工作表中已包含每位销售人员对应的产品销量，且产品销售单价为 308 元，计算每位销售人员销售额的最优操作方法是：,A)直接通过公式“=销量×308”计算销售额。,B)将单价 308 定义名称为“单价”，然后在计算销售额的公式中引用该名称。,C)将单价 308 输入到某个单元格中，然后在计算销售额的公式中绝对引用该单元格。,D)将单价 308 输入到某个单元格中，然后在计算销售额的公式中相对引用该单元格。,1
在 Excel 某列单元格中，快速填充 2011 年～2013 年每月最后一天日期的最优操作方法是：,A)在第一个单元格中输入“2011-1-31”，然后使用 MONTH 函数填充其余 35 个单元格。,B)在第一个单元格中输入“2011-1-31”，拖动填充柄，然后使用智能标记自动填充其余35个单元格。,C)在第一个单元格中输入“2011-1-31”，然后使用格式刷直接填充其余 35 个单元格。,D)在第一个单元格中输入“2011-1-31”，然后执行“开始”选项卡中的“填充”命令。,1
如果 Excel 单元格值大于 0，则在本单元格中显示“已完成”；单元格值小于 0，则在本单元格中显示“还未开始”；单元格值等于 0，则在本单元格中显示“正在进行中”，最优的操作方法是：,A)使用 IF 函数。,B)通过自定义单元格格式，设置数据的显示方式。,C)使用条件格式命令。,D)使用自定义函数。,1
小刘用 Excel 2010 制作了一份员工档案表，但经理的计算机中只安装了 Office 2003，能让经理正常打开员工档案表的最优操作方法是：,A) 将文档另存为 Excel 97-2003 文档格式。,B)将文档另存为 PDF 格式。,C)建议经理安装 Office 2010。,D)小刘自行安装 Office 2003，并重新制作一份员工档案表。,0
在 Excel 工作表中，编码与分类信息以“编码|分类”的格式显示在了一个数据列内，若将编码与分类分为两列显示，最优的操作方法是：,A)重新在两列中分别输入编码列和分类列，将原来的编码与分类列删除。,B)将编码与分类列在相邻位置复制一列，将一列中的编码删除，另一列中的分类删除。,C)使用文本函数将编码与分类信息分开。,D)在编码与分类列右侧插入一个空列，然后利用 Excel 的分列功能将其分开。,3
以下错误的 Excel 公式形式是：,A)=SUM(B3:E3)*$F$3,B)=SUM(B3:3E)*F3,C)=SUM(B3:$E3)*F3,D)=SUM(B3:E3)*F$3,1
以下对 Excel 高级筛选功能，说法正确的是：,A)高级筛选通常需要在工作表中设置条件区域,B)利用“数据”选项卡中的“排序和筛选”组内的“筛选”命令可进行高级筛选,C) 高级筛选之前必须对数据进行排序,D) 高级筛选就是自定义筛选,0
初二年级各班的成绩单分别保存在独立的Excel 工作簿文件中，李老师需要将这些成绩单合并到一个工作簿文件中进行管理，最优的操作方法是：,A)将各班成绩单中的数据分别通过复制、粘贴的命令整合到一个工作簿中。,B)通过移动或复制工作表功能，将各班成绩单整合到一个工作簿中。,C)打开一个班的成绩单，将其他班级的数据录入到同一个工作簿的不同工作表中。,D)通过插入对象功能，将各班成绩单整合到一个工作簿中。,1
某公司需要在 Excel 中统计各类商品的全年销量冠军，最优的操作方法是：,A) 在销量表中直接找到每类商品的销量冠军，并用特殊的颜色标记。,B) 分别对每类商品的销量进行排序，将销量冠军用特殊的颜色标记。,C) 通过自动筛选功能，分别找出每类商品的销量冠军，并用特殊的颜色标记。,D) 通过设置条件格式，分别标出每类商品的销量冠军。,3
在 Excel 中，要显示公式与单元格之间的关系，可通过以下方式实现：,A)“公式”选项卡的“函数库”组中有关功能,B)“公式”选项卡的“公式审核”组中有关功能,C)“审阅”选项卡的“校对”组中有关功能,D)“审阅”选项卡的“更改”组中有关功能,1
在 Excel 中，设定与使用“主题”的功能是指：,A) 标题,B) 一段标题文字,C) 一个表格,D) 一组格式集合,3
"在 Excel成绩单工作表中包含了 20个同学成绩，C 列为成绩值，第一行为标题行，在不改变行列顺序的情况下，在 D 列统计成绩排
名，最优的操作方法是：","A) 在 D2 单 元 格 中 输 入“=RANK(C2,$C2:$C21)”，然后向下拖动该单元格的填充柄到 D21 单元格。","B) 在 D2 单元格中输入“=RANK(C2,C$2:C$21)”，然后向下拖动该单元格的填充柄到 D21 单元格。","C)在D2单元格中输入“=RANK(C2,$C2:$C21)”，然后双击该单元格的填充柄。","D) 在 D2 单 元 格 中 输 入“=RANK(C2,C$2:C$21)”，然后双击该单元格的填充柄。",3
如需将 PowerPoint 演示文稿中的 SmartArt图形列表内容通过动画效果一次性展现出来，最优的操作方法是：,A)将 SmartArt 动画效果设置为“整批发送”。,B)将 SmartArt 动画效果设置为“一次按级别”。,C)将 SmartArt 动画效果设置为“逐个按分支”。,D)将 SmartArt 动画效果设置为“逐个按级别”。,0
